16
16
['190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '118']
['12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '42']
['37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '220']
['161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '103']
['254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '26']
['5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '14']
['106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '173']
['154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '143']
['49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '162']
['116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '252']
['100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '238']
['84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '189']
['4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '10']
['75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '18']
['99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '112']
['200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '243']
['42', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['42', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['12', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['12', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['12', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['12', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['12', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['12', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['12', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['12', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['12', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['12', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['12', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['12', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['12', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['12', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['12', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['94', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['94', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['94', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['94', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['94', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['94', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['94', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['94', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['94', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['94', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['94', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['94', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['94', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['94', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['94', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['131', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['131', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['131', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['131', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['131', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['131', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['131', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['131', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['131', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['131', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['131', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['131', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['131', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['131', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['131', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['15', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['15', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['15', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['15', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['15', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['15', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['15', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['15', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['15', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['15', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['15', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['15', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['15', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['15', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['15', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['186', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['186', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['186', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['186', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['186', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['186', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['186', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['186', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['186', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['186', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['186', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['186', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['186', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['186', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['186', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['43', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['43', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['43', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['43', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['43', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['43', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['43', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['43', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['43', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['43', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['43', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['43', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['43', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['43', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['43', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['145', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['145', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['145', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['145', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['145', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['145', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['145', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['145', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['145', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['145', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['145', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['145', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['145', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['145', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['145', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['11', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['11', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['11', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['11', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['11', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['11', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['11', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['11', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['11', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['11', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['11', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['11', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['11', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['11', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['11', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['166', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['166', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['166', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['166', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['166', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['166', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['166', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['166', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['166', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['166', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['166', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['166', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['166', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['166', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['166', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['234', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['234', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['234', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['234', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['234', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['234', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['234', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['234', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['234', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['234', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['234', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['234', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['234', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['234', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['234', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['151', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['151', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['151', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['151', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['151', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['151', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['151', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['151', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['151', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['151', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['151', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['151', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['151', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['151', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['151', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['204', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['204', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['204', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['204', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['204', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['204', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['204', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['204', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['204', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['204', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['204', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['204', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['204', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['204', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['204', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['210', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['210', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['210', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['210', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['210', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['210', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['210', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['210', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['210', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['210', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['210', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['210', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['210', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['210', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['210', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['21', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['21', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['21', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['21', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['21', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['21', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['21', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['21', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['21', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['21', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['21', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['21', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['21', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['21', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['21', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['213', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['213', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['213', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['213', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['213', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['213', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['213', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['213', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['213', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['213', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['213', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['213', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['213', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['213', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['213', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['220', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['220', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['220', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['220', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['220', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['220', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['220', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['220', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['220', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['220', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['220', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['220', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['220', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['220', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['220', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['37', '190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '42']
['37', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['37', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['37', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['37', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['37', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['37', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['37', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['37', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['37', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['37', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['37', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
