4
150
['350', '479', '449', '473', '491', '379']
['56', '63', '82', '141', '145', '162']
['57', '59', '100', '191', '259']
['70', '113', '160', '207']
['78', '198', '252']
['79', '130', '260', '311']
['80', '157']
['84', '88', '110', '116', '196', '209']
['85', '185', '214', '286', '303']
['90', '167', '170']
['93', '95', '143']
['94', '103', '106']
['115', '140', '169', '308', '314']
['122', '235', '302']
['124', '129', '149', '171', '205']
['125', '168', '223']
['139', '211', '295']
['142', '182', '197']
['152', '195', '206', '277']
['163', '183', '193']
['165']
['172', '173', '216', '232']
['175', '278']
['177', '236']
['179', '237']
['180', '199']
['184', '204', '233']
['187']
['190', '297', '310']
['202', '244', '313']
['217', '282']
['218']
['219']
['221', '273']
['225']
['226']
['227']
['228', '276']
['229', '285']
['231', '251', '258']
['240', '280']
['241', '248', '263']
['245', '265', '305']
['246', '261']
['250']
['257', '279']
['266']
['267', '272']
['268', '293']
['271']
['274', '304', '307']
['281']
['284', '306', '309']
['290']
['292']
['294', '298']
['299']
['300']
['315']
['1', '2', '4', '5', '7', '8']
['3', '6', '9', '10', '11', '15']
['12', '13', '14', '18', '19', '25']
['16', '17', '23', '24', '26', '33']
['20', '22', '72', '80', '151', '152']
['21', '29', '30', '38', '55', '56']
['27', '28', '31', '35', '36', '112']
['32', '113', '141', '150', '302', '306']
['34', '41', '45', '66', '78', '87']
['37', '40', '134', '161', '179', '182']
['39', '46', '92', '95', '109', '125']
['42', '43', '50', '64', '197', '235']
['44', '73', '75', '156', '177', '209']
['47', '52', '57', '62', '284', '312']
['48', '58', '65', '79', '231', '363']
['49', '51', '94', '135', '169', '315']
['53', '59', '108', '186', '219', '339']
['54', '81', '84', '196', '245', '299']
['60', '68', '70', '105', '153', '199']
['61', '131', '157', '192', '222', '337']
['63', '77', '121', '194', '282', '351']
['67', '83', '107', '198', '218', '280']
['69', '106', '123', '143', '165', '201']
['71', '82', '137', '271', '307', '331']
['74', '99', '239', '415', '416', '447']
['76', '89', '93', '104', '126', '220']
['85', '133', '147', '148', '195', '206']
['86', '97', '100', '102', '204', '215']
['88', '118', '145', '162', '189', '274']
['90', '122', '139', '287', '336', '365']
['91', '142', '213', '466', '257']
['96', '173', '260', '277', '333', '457']
['98', '103', '117', '291', '303', '432']
['101', '159', '212', '289', '298', '69']
['110', '276', '373', '402', '452', '490']
['111', '146', '172', '176', '326', '88']
['114', '128', '202', '247', '257', '258']
['115', '140', '149', '226', '410', '82']
['116', '272', '273', '330', '403', '414']
['119', '136', '138', '255', '263', '266']
['120', '187', '244', '248', '296', '433']
['124', '36', '92', '226']
['127', '130', '132', '217', '292', '347']
['129', '249', '377', '439', '495']
['144', '184', '203', '211', '236', '290']
['154', '158', '46', '101', '245']
['155', '233', '238', '253', '400', '401']
['160', '200', '250', '252', '285', '376']
['163', '205', '313', '371', '494', '26']
['164', '180', '288', '297', '300', '20']
['166', '175', '207', '286', '294', '394']
['167', '317', '328', '425', '160', '168']
['168', '170', '242', '275']
['171', '221', '240', '251', '335']
['174', '358', '446', '14', '75', '170']
['178', '191', '210', '216', '362', '436']
['181', '270', '356', '393', '419', '453']
['183', '188', '223', '8', '125']
['185', '310', '318', '399', '13', '41']
['190', '228', '391', '204', '230']
['193', '227', '229', '267', '268', '334']
['208', '262', '305', '352', '359', '454']
['214', '225', '293', '228']
['224', '364', '384', '390', '418', '422']
['230', '493', '23', '83', '190', '241']
['232', '264', '413', '21', '45', '199']
['234', '70', '196']
['237', '246', '30', '55', '119', '186']
['241', '329', '332', '438', '68']
['243', '301', '349', '374', '499', '58']
['254', '321', '157']
['256', '314', '316', '397', '434', '114']
['259', '346', '461']
['261', '148']
['265', '407', '60']
['269', '411', '444', '489', '497']
['278', '440', '443', '467', '166', '211']
['279', '111', '217']
['281', '375', '427', '451']
['283', '368', '496', '113']
['295', '378', '49', '80', '258']
['304', '308', '203', '214']
['309', '380', '381', '417', '57', '78']
['311', '354', '47', '79', '138']
['319', '426', '122', '152', '240']
['320', '366', '398', '459', '475', '33']
['322', '0', '9', '90']
['323', '441', '484', '39', '146', '242']
['324', '360', '423', '485', '85', '112']
['325', '357', '392', '483', '52', '76']
['327', '387', '1', '64']
['338', '388', '405', '477', '120', '254']
['340', '404', '16']
['341', '383', '2', '62', '259']
['342', '350', '492', '72']
['343', '355', '370', '106']
['344', '367', '491', '127']
['345', '98']
['348', '382', '396', '445', '456', '479']
['353', '361', '77', '84', '185']
['369', '386', '408', '165']
['372', '389', '409', '450', '22', '261']
['379', '29', '93', '201']
['385', '421', '252']
['395', '133', '177', '219', '244']
['406']
['412', '431']
['420']
['424', '37', '158', '200']
['428', '481', '124', '206']
['429', '176']
['430', '449', '463', '42', '153']
['435', '458', '464', '150', '171']
['437', '28', '67']
['442', '31', '107', '215']
['448', '480', '71', '164', '246']
['455', '192']
['460']
['462', '486', '155', '213']
['465', '478', '102', '248']
['468', '474', '498', '208']
['469', '65', '97']
['470', '218']
['471']
['472', '96']
['473', '476', '44']
['482', '53', '205']
['487']
['488', '91', '161', '180', '183', '224']
['3', '73', '89']
['4', '6', '131', '195', '232']
['5', '54', '182']
['7', '27', '132']
['10', '12', '15', '56']
['11', '115']
['17']
['18', '74', '117', '194']
['19']
['24', '32', '51', '118']
['25', '104']
['34', '40', '129']
['35', '163', '181']
['38']
['43']
['48', '136']
['50', '141', '243']
['59', '135', '212', '231', '238']
['61']
['63', '110', '189', '249']
['66', '173']
['81', '159']
['86', '193']
['87', '109']
['94', '137', '179']
['95', '154']
['99']
['100']
['103']
['105', '139', '144']
['108']
['116']
['121', '174']
['123', '262']
['126', '175']
['128']
['130']
['134']
['140']
['142']
['143', '207']
['145', '209']
['147', '235']
['149', '233']
['151', '172']
['156']
['162']
['167', '253']
['169', '191']
['178']
['184', '202']
['187', '236']
['188']
['197']
['198']
['210']
['216']
['220']
['221']
['222', '225']
['223', '256', '260']
['227']
['229']
['234']
['237']
['239']
['247']
['250']
['251']
['255']
['263']
